,companyId,salary,skillLables
48523,49579,37.5,"['数据挖掘', '数据分析']"
48524,49579,35.0,"['产品策划', '产品设计', '用户研究']"
48525,49579,40.0,[]
48526,49579,4.5,[]
48527,49579,15.0,['用户运营']
48528,49579,30.0,"['人工智能', '图像处理']"
48529,49579,22.5,"['产品策划', '用户研究', '数据分析', '移动产品/APP']"
48530,49579,25.0,"['社区运营', '海外运营', '用户运营']"
48531,49579,22.5,['算法']
48532,49579,37.5,['人工智能']
48533,49579,22.5,"['产品设计', '用户研究', '视频', '社交/SNS']"
48534,49579,20.0,[]
48535,49579,16.0,"['产品设计', '产品策划']"
48536,24881,11.5,[]
48537,24881,11.5,[]
48538,24881,11.5,"['Flash', '动画']"
48539,24881,40.0,"['团队建设', '部门管理']"
48540,24881,15.0,"['海外市场', '数字营销']"
48541,24881,15.0,['广告销售']
48542,24881,18.0,"['渠道', 'SEM']"
48543,49579,18.0,[]
48544,24881,3.5,"['顾问', '售后']"
48545,24881,3.5,[]
48546,24881,3.5,[]
48547,24881,3.5,[]
48548,24881,12.5,['编辑']
48549,24881,6.5,['BD']
48550,49579,22.5,['内容运营']
48551,24881,10.0,[]
48552,49579,16.5,[]
48553,24881,11.5,"['销售', '商务渠道', '商务拓展', 'BD']"
48554,24881,30.0,"['风险管理', '授信审查']"
48555,24881,11.5,['市场']
48556,24881,15.0,"['商务渠道', '海外销售', '代理商', '商务拓展']"
48557,24881,18.0,"['销售顾问', '客户代表']"
48558,24881,15.0,"['运营管理', '平台']"
48559,24881,11.5,"['用户运营', '策略运营', '数据分析', '用户增长']"
48560,24881,24.0,"['Web测试', 'Selenium', 'Loadrunner', '自动化测试']"
48561,24881,18.0,"['品牌管理', '市场管理']"
48562,24881,9.0,['投放']
48563,24881,30.0,"['产品设计', '商业产品', '反作弊']"
48564,24881,30.0,"['Hadoop', 'Spark', '数据处理', '数据库开发']"
48565,24881,22.5,"['MySQL', '数据分析', '数据仓库']"
48566,49579,30.0,"['产品策划', '产品设计']"
48567,49579,16.0,"['产品设计', '产品策划']"
48568,49579,37.5,['战略管理']
48569,49579,20.0,['市场']
48570,49579,15.0,[]
48571,49579,7.0,[]
48572,49579,30.0,['视频编解码']
48573,49579,21.0,"['用户研究', '需求分析']"
48574,49579,15.0,[]
48575,49579,15.0,['市场']
48576,49579,5.0,[]
48577,49579,15.0,[]
48578,49579,4.0,[]
48579,49579,19.5,['COCOS2D-X']
48580,49579,37.5,"['音频处理', '语音算法']"
48581,49579,4.5,['客服']
48582,49579,22.5,"['商务', '市场', '电商运营']"
48583,49579,22.5,['软件开发']
48584,49579,22.5,[]
48585,49579,21.5,"['产品策划', '产品设计', '用户研究']"
48586,49579,17.5,[]
48587,49579,15.0,[]
48588,49579,22.5,['需求分析']
48589,49579,22.5,['MySQL']
48590,49579,19.5,[]
48591,49579,15.0,['电商运营']
48592,49579,19.5,[]
48593,49579,20.0,[]
48594,49579,15.0,[]
48595,49579,18.0,"['营销策略', '营销策划', '行业分析', '海外市场']"
48596,49579,15.0,"['海外运营', '效果跟踪']"
48597,49579,16.0,['海外运营']
48598,49579,22.5,"['视频', '数据']"
48599,49579,22.5,['产品策划']
48600,49579,22.5,['产品策划']
48601,49579,18.0,['产品策划']
48602,49579,18.0,[]
48603,49579,17.5,"['产品设计', '产品策划', '用户研究']"
48604,49579,23.0,"['Linux/Unix', '后端', 'MySQL']"
48605,49579,18.0,['活动策划']
48606,49579,18.0,['HR']
48607,49579,22.5,"['产品策划', '用户研究', '需求分析', '产品设计']"
48608,49579,18.0,"['产品运营', '海外运营', '用户运营']"
48609,49579,45.0,['架构师']
48610,49579,40.0,"['数据挖掘', '算法', '移动开发']"
48611,49579,30.0,"['市场拓展', '市场策划']"
48612,49579,15.0,"['内容运营', '电商运营', '数据分析']"
48613,49579,25.0,"['产品设计', '产品策划']"
48614,49579,7.0,"['资产管理', '信贷管理', '风控']"
48615,49579,19.5,['用户研究']
48616,49579,20.0,"['需求分析', '用户研究']"
48617,49579,15.0,[]
48618,49579,4.0,[]
48619,49579,20.0,[]
48620,49579,6.5,"['内容运营', '海外运营']"
48621,49579,20.0,"['需求分析', '产品策划']"
48622,49579,20.0,"['市场推广', '数据分析', '消费者分析']"
48623,49579,15.0,"['市场推广', '市场分析']"
48624,49579,12.5,"['用户运营', '数据分析']"
48625,49579,22.5,[]
48626,49579,25.0,"['产品设计', '产品策划']"
48627,49579,16.0,"['HR', '人力资源']"
48628,49579,16.5,"['用户研究', '需求分析']"
48629,49579,20.0,"['人力资源', '招聘']"
48630,49579,3.5,"['审核', '校对', '内容']"
48631,49579,15.0,"['社区运营', '产品运营', '新媒体运营']"
48632,49579,12.5,"['市场管理', '战略管理']"
48633,49579,22.5,"['产品策划', '用户研究']"
48634,49579,18.0,"['营销策略', '营销策划', '行业分析', '海外市场']"
48635,49579,15.0,"['海外运营', '社区运营', '网站推广', '策略运营']"
48636,49579,30.0,"['团队建设', '决策能力']"
48637,49579,22.5,[]
48638,49579,22.5,"['总经理助理', '总裁助理']"
48639,49579,15.0,"['审核', '内容审核', '质检']"
48640,49579,12.5,['项目管理']
48641,49579,20.0,['用户运营']
48642,49579,7.0,"['出纳', '税务', '审计']"
48643,49579,8.5,"['产品运营', '用户运营', '内容运营']"
48644,49579,12.5,"['用户运营', '活动策划']"
48645,49579,15.0,"['市场推广', '市场拓展', '营销']"
48646,49579,22.5,[]
48647,49579,22.5,['分布式']
48648,49579,37.5,[]
48649,49579,20.0,"['运维', 'Cisco', '网络安全', '信息安全']"
48650,49579,45.0,['人工智能']
48651,49579,22.5,"['产品策划', '产品设计']"
48652,49579,37.5,"['人工智能', '机器学习']"
48653,49579,18.0,"['行业分析', '营销策略', '营销策划', '海外市场']"
48654,49579,18.0,"['海外市场', '行业分析', '营销策略']"
48655,49579,20.0,[]
48656,49579,18.0,[]
48657,49579,22.5,[]
48658,49579,22.5,['IOS']
48659,49579,18.0,"['产品策划', '产品设计', '需求分析', '游戏']"
48660,49579,15.0,['海外运营']
48661,49579,30.0,"['音视频', '视频编解码', '音频编解码']"
48662,49579,6.5,['内容运营']
48663,49579,6.5,"['内容审核', '审核']"
48664,49579,20.0,"['需求分析', '产品策划']"
48665,49579,25.0,[]
48666,49579,20.0,['活动策划']
48667,49579,15.0,[]
48668,49579,22.5,[]
48669,49579,20.0,['内容']
48670,49579,12.0,['市场推广']
48671,49579,15.0,['游戏策划']
48672,49579,7.0,['文员']
48673,49579,15.0,['软件测试']
48674,49579,22.5,[]
48675,49579,16.0,"['市场拓展', '商务']"
48676,49579,22.5,['用户运营']
48677,49579,12.0,"['用户运营', '数据分析', '策略运营']"
48678,49579,30.0,['需求分析']
48679,49579,6.5,"['内容运营', '海外运营']"
48680,49579,19.5,"['广告协调', '策划']"
48681,49579,27.5,"['用户增长', '数据分析', '效果跟踪']"
48682,49579,8.5,['客服']
48683,49579,45.0,[]
48684,49579,7.0,"['内容审核', '信息']"
48685,49579,15.0,"['市场', '营销策略', '线下拓展', '市场拓展']"
48686,49579,15.0,[]
48687,49579,19.0,"['用户研究', '需求分析', '产品设计', '产品策划']"
48688,49579,20.0,[]
48689,49579,15.0,['活动策划']
48690,49579,22.5,['产品策划']
48691,49579,15.0,"['产品策划', '产品设计']"
48692,49579,22.5,[]
